case_id,original,corrected
judgement_C_P_L_A_2788_2022,"2 The High Court allowed the writ petition against the concurrent orders of the Guardian Court and the appellate Court by holding inter alia that no third party, caregiver or guardian can be appointed a guardian in the stead of a biological parent of the child while the biological parent...","2 The High Court allowed the writ petition against the concurrent orders of the Guardian Court and the appellate Court by holding inter alia that no third party, caregiver or guardian can be appointed a guardian in the stead of a biological parent of the child while the biological parent..."
judgement_J_P_554_2023,"On the same day, the petitioner and acquitted co-accused were arrested by Ghulam Saboor Khan ASI, who recovered a Kalashnikov bearing No. Upon the arrest of the petitioner and the co-accused since acquitted, and completion of the investigation, separate reports under Section 173 Cr.P.C, in both the FIRs were submitted...","On the same day, the petitioner and acquitted co - accused were arrested by Ghulam Labor Khan ASI, who recovered a Kalashnikov bearing No. Upon the arrest of the petitioner and the co - accused since acquitted, and completion of the investigation, separate reports under Section 173 Cr. P. C, in both the Firs were submitted..."
judgement_Crl_P_L_A_1033_2025,"The brief facts of the case as alleged in the instant FIR are that on 03.04.2025 at 2320 hours, Abu Bakar the Deceased , aged 1516 years, was allegedly taken by the accused Basit to the Petitioner and accused Shahid. Learned counsel for the Petitioner contends that the Complainant has...","The brief facts of the case as alleged in the instant FIR are that on 03.04.2025 at 2320 hours, Abu Bakr the Deceased, aged 1516 years, was allegedly taken by the accused Basis to the Petitioner and accused Shahid. Learned counsel for the Petitioner contends that the Complainant has..."
judgement_Crl_P_L_A_1184_2025,"M azhar Ali Haider, Advocate in all cases For the State Syed Zulfiqar Abbas Naqvi, Special Prosecutor, Punjab Assisted by M r. M udassar H ussain M alik, ASC Dr. Chief Justice Judge Judge Islamabad, the 21st of August, 2025 Not approved for reporting.","M Azar Ali Harder, Advocate in all cases For the State Syed Cultivar Abbas Naevi, Special Prosecutor, Punjab Assisted by M r. M Vassar Hussain Malik, ASC Dr. Chief Justice Judge Islamabad, the 21st of August 2025 Not approved for reporting."
judgement_Crl_P_L_A_745_2025,"16268-B2025 Abid ...Petitioner Versus The State through Prosecutor General Punjab and another ...Respondents For the Petitioners Syed Khawar Ameer Bukhari, ASC Syed Rifaqat Hussain Shah, AOR For the State Mr. Judge Judge Judge Islamabad 09.07.2025 Khalid Approved for reporting","16268 - B2025 Acid... Petitioner Versus The State through Prosecutor General Punjab and another... Respondents For the Petitioners Syed Khazar Amber Bukhara, ASC Syed Rift Hussain Shah, AOR For the State Mr. Judge Islamabad 09.07.2025 Khalid Approved for reporting"
judgement_C_P_L_A_1107-L_2015,Marriage under Islamic law is regarded both as an act of devotion ibadat and a social transaction muamalat.,Marriage under Islamic law is regarded both as an act of devotion Ibadan and a social transaction mudflat.
judgement_Crl_P_L_A_1055_2025,The report of the firearm expert confirms that no empty was fired from the .30 bore pistol allegedly recovered from the Chalian has already been submitted in November 2024 but till date prosecution has not examined any witness at the trial. The petitioner g in judicial custody is no more...,The report of the firearm expert confirms that no empty was fired from the.30 bore pistol allegedly recovered from the Chadian has already been submitted in November 2024 but till date prosecution has not examined any witness at the trial. The petitioner g in judicial custody is no more...
judgement_Crl_A_351_2023,"Appeal Nos.351, 352 353 of 2023 3 accused, who disclosed his name as Saddam Kakar appellant. According to the prosecution s case, Azhar Hussain appellant inflicted a rod blow on the body of Abdul Rehman deceased, during the occurrence but none of the prosecution eyewitness had stated that Azhar Hsusain...","Appeal Nos.351, 352 353 of 2023 3 accused, who disclosed his name as Saddam Dakar appellant. According to the prosecution's case, Azar Hussain appellant inflicted a rod blow on the body of Abdul Rehman deceased, during the occurrence but none of the prosecution eyewitness had stated that Azar Hussain..."
judgement_Crl_P_L_A_585_2025,"JUSTICE SYED HASAN AZHAR RIZVI MR. The injuries attributed to both the petitioners were declared by the concerned Medical Officer to be punishable under section 337Aii PPC. JUDGE JUDGE Islamabad, the 2nd of September, 2025 Not Approved For Reporting","JUSTICE SYED HASAN AZAR RAVI MR. The injuries attributed to both the petitioners were declared by the concerned Medical Officer to be punishable under section 337Aii PPC. JUDGE Islamabad, the 2nd of September 2025 Not Approved For Reporting"
judgement_Crl_P_L_A_433_2025,"On December 14, 2022, at 830 p.m., the prosecution apprehended the petitioner from Kanan Sian Chowk. He shall be released forthwith if not required to be detained in any other case.","On December 14, 2022, at 830 p.m., the prosecution apprehended the petitioner from Kazan Sian Chow. He shall be released forthwith if not required to be detained in any other case."
judgement_C_P_L_A_385-L_2021,"This understanding underscores the importance of upholding justice and fairness within the legal system. According to section 25, in conjunction with section 26, the collection of court fees is mandated to be executed through the use of stamps. Judge Judge Lahore 22.08.2025, Irfan Aslam Libah Nadeem LC APPROVED FOR REPORTING...","This understanding underscores the importance of upholding justice and fairness within the legal system. According to section 25, in conjunction with section 26, the collection of court fees is mandated to be executed through the use of stamps. Judge Lahore 22.08.2025, Iran Islam Libau Nadeem LC APPROVED FOR REPORTING..."
judgement_Crl_P_L_A_39-K_2025,"This is a significant development that necessitates immediate attention. Any law suits with clients should be resorted to only to prevent injustice, imposition or fraud.","This is a significant development that necessitates immediate attention. Any lawsuits with clients should be resorted too only to prevent injustice, imposition or fraud."
judgement_C_A_1388_2017,We have heard the learned counsel for the parties and perused the material available on record. Chief Justice Judge Judge Islamabad 09.09.2025 Approved for Reporting Asif Bhatti,We have heard the learned counsel for the parties and perused the material available on record. Chief Justice Judge Islamabad 09.09.2025 Approved for Reporting Asif Bhakti
judgement_C_P_L_A_933-K_2023,"The aforesaid Civil Petitions are brought to challenge the consolidated judgment dated 21.03.2023, passed by the learned Division Bench of the High Court of Sindh, Circuit Court, Hyderabad, in C.Ps. No. The learned counsel for the petitioners argued that the learned High Court's finding that the matter contains disputed facts...","The aforesaid Civil Petitions are brought to challenge the consolidated judgment dated 21.03.2023, passed by the learned Division Bench of the High Court of Sindh, Circuit Court, Hyderabad, in C. Ps. No. The learned counsel for the petitioners argued that the learned High Court 's finding that the matter contains disputed facts..."
judgement_Crl_P_L_A_147-K_2025,"On the other hand, Mushtaq Abbasi, AIG Legal, Liaquat Ali, SHO, Boat Basin, Karachi and Waseem Ahmed, I.O of the FIR, present in Court, have supported the impugned order and submitted that in view of the proceedings before the judicial forums, wherein, no such directions were issued to the I.O...","On the other hand, Must Abbas, AIG Legal, Loquat Ali, SHO, Boat Basin, Karachi and Waseem Ahmed, I. O of the FIR, present in Court, have supported the impugned order and submitted that in view of the proceedings before the judicial forums, wherein, no such directions were issued to the I.O..."
judgement_Crl_P_L_A_1121_2021,"In this report, it is mentioned inter alia that on 15.11.2020, information was given to Rescue-15 as to the said land being occupied and that ASI, Rafaqat went to the site where he found respondent No.1 Cr1.PLA No.1121 of 2021 and his companions repairing a wall and raising its height....","In this report, it is mentioned inter alia that on 15.11.2020, information was given to Rescue-15 as to the said land being occupied and that ASI, Rafael went to the site where he found respondent No.1 Cr1.PLA No.1121 of 2021 and his companions repairing a wall and raising its height...."
judgement_Crl_P_L_A_219-P_2023,"The accused was examined under Section 342 Cr. The accused-petitioner challenged his conviction and sentence before the High Court through Cr.A No. 219-P of 2023 30.07.2022 and 16.11.2023 passed by the trial Court and High Court, respectively, are set aside Judge Judge Peshawar 12.08.2025 Judge Zia APPROVED FOR REPORTING Io","The accused was examined under Section 342 Cr. The accused - petitioner challenged his conviction and sentence before the High Court through Cr. A No. 219 - P of 2023 30.07.2022 and 16.11.2023 passed by the trial Court and High Court, respectively, are set aside Judge Peshawar 12.08.2025 Judge Via APPROVED FOR REPORTING Io"
judgement_C_P_L_A_78-K_2024,"609 of 2023 has been filed by, inter alia, Federation of Pakistan and thus, is beyond the scope of objection raised in the subject CMAs. Accordingly, once goods are assessed and cleared under the Customs Act, the recovery of sales tax or income tax, even if short-levied at the import...","609 of 2023 has been filed by, inter alia, Federation of Pakistan and thus, is beyond the scope of objection raised in the subject CMA 's. Accordingly, once goods are assessed and cleared under the Customs Act, the recovery of sales tax or income tax, even if short - levied at the import..."
judgement_C_A_101-K_2022,"argued that while enhancing the amount of compensation, both the courts below failed to consider the documents and evidence led in the matter, and without any lawful justification, the amount of compensation was enhanced. JUDGE JUDGE JUDGE Karachi 13t June, 2025 B-K Soomro Approved for reporting","Argued that while enhancing the amount of compensation, both the courts below failed to consider the documents and evidence led in the matter, and without any lawful justification, the amount of compensation was enhanced. JUDGE Karachi 13 t June 2025 B - K Sewer Approved for reporting"
judgement_C_P_L_A_407-K_2021,"It was further averred that if a contract appointment is made against a permanent post involving dutieswork of permanent nature through a transparent selection process, then it would be considered a regular appointment. Moreover, the Office Memorandum dated 20.05.2020, issued pursuant to Regulation 211 of the Regulations, was also challenged,...","It was further averred that if a contract appointment is made against a permanent post involving duties work of permanent nature through a transparent selection process, then it would be considered a regular appointment. Moreover, the Office Memorandum dated 20.05.2020, issued pursuant to Regulation 211 of the Regulations, was also challenged,..."
judgement_Crl_P_L_A_960_2025,Justice Athar Minallah Mr. The petitioner is alleged to have committed the offence under Section 489-F of PPC.,Justice Attar Finally Mr. The petitioner is alleged to have committed the offense under Section 489 - F of PPC.
judgement_C_P_L_A_1032-K_2025,"He stated that the present matter is a result of connivance among MFB, her attorney MA and GM with the sole intention to dispossess the present petitioners from the property. We have heard the learned counsel for the petitioners, gone through the impugned judgment and the law on the subject...","He stated that the present matter is a result of connivance among MFB, her attorney MA and GM with the sole intention to dispossess the present petitioners from the property. We have heard the learned counsel for the petitioners, gone through the impugned judgment and the law on the subject..."
judgement_Crl_A_343_2023,"The accused persons, thereafter fled away from the spot in their car, hence the FIR of this case. 5. They shall be released from the jail forthwith unless required to be detained in any other case. JUDGE JUDGE JUDGE Islamabad, the 10 of September, 2025 Not Approved For Reporting","The accused persons, thereafter fled away from the spot in their car, hence the FIR of this case. 5. They shall be released from the jail forthwith unless required to be detained in any other case. JUDGE Islamabad, the 10 of September 2025 Not Approved For Reporting"
judgement_C_P_L_A_5516_2024,"As respondent No.1 had conceded to the claim made by the petitioner, the latter s suit was decreed. The pleadings in the said application are consistent with those in Farooq Siddiqui s application.","As respondent No.1 had conceded to the claim made by the petitioner, the latter's suit was decreed. The pleadings in the said application are consistent with those in Farooq Siddiqui's application."
judgement_C_P_L_A_74_2025,"In execution proceedings, upon an application of Respondent No. It was, therefore, urged that the respondent no. Judge Judge Islamabad 20.08.2025 APPROVED FOR REPORTING Younus Shaikh, LC","In execution proceedings, upon an application of Respondent No. It was, therefore, urged that the respondent no. Judge Islamabad 20.08.2025 APPROVED FOR REPORTING You nus Shaikh, LC"
judgement_C_P_L_A_88-P_2022,"A, Having examined the case, the Court cannot remain indifferent to the systemic malaise of delay in the adjudication of cases.","A, Having examined the case, the Court can not remain indifferent to the systemic malaise of delay in the adjudication of cases."
judgement_C_P_L_A_147-K_2023,"The mandate given to it under the Constitution as well as the Service Tribunal Act, 1973, is to adjudicate upon all the matters relating to the terms and conditions of service of civil servants. Whereas, the terms and conditions of service of a Judge of the High Court are regulated...","The mandate given to it under the Constitution as well as the Service Tribunal Act, 1973, is to adjudicate upon all the matters relating to the terms and conditions of service of civil servants. Whereas, the terms and conditions of service of a Judge of the High Court are regulated..."
judgement_J_P_286_2020,"The presence of the complainant PW-5 with his real son at the time of occurrence is neither un-natural nor improbable. Benefit of section 382-B Cr.P.C, is also extended to the petitioner. JUDGE JUDGE Islamabad, the 034 of September, 2025 Not Approved For Reporting","The presence of the complainant PW-5 with his real son at the time of occurrence is neither unnatural nor improbable. Benefit of section 382 - B Cr. P. C, is also extended to the petitioner. JUDGE Islamabad, the 034 of September 2025 Not Approved For Reporting"
judgement_C_P_L_A_110_2023,"For the Respondents Mr. which is available at of the paper book proceedings commenced on the basis of the aforesaid show cause notice before the Collector, Collectorate of Customs Adjudication, Faisalabad, who, as stated above, is under an obligation to decide the case within 120 days as the Law then...","For the Respondents Mr. which is available at of the paper book proceedings commenced on the basis of the aforesaid show cause notice before the Collector, Collect orate of Customs Adjudication, Faisalabad, who, as stated above, is under an obligation to decide the case within 120 days as the Law then..."
judgement_C_A_209_2025,"The predecessor of respondents No.1 to 6 namely, Talib Civil Appeal No. Besides, Arshad Khan DW-5 identified the thumb impression on the agreement Exh.D-4 who had also admitted that the Iqgrarnama was executed after Juma prayer which means that on 04.12.2015 Altaf Hussain was in police custody and was brought...","The predecessor of respondents No.1 to 6 namely, Tali Civil Appeal No. Besides, Ar shad Khan DW-5 identified the thumb impression on the agreement Ex. D-4 who had also admitted that the Iqgrarnama was executed after Jump prayer which means that on 04.12.2015 Altar Hussain was in police custody and was brought..."
judgement_C_P_L_A_2313_2024,"1 and not in the name of the Deceased. 6. The Judgment passed in Civil Suit No. Judge Judge Islamabad 01.09.2025 APPROVED FOR REPORTING Younus Shaikh, LC","1 and not in the name of the Deceased. 6. The Judgment passed in Civil Suit No. Judge Islamabad 01.09.2025 APPROVED FOR REPORTING You nus Shaikh, LC"
judgement_C_P_L_A_5929_2024,"2. exemption from income tax under sub-clause 2i of clause 58 of Part-I of the Second Schedule to the Income Tax Ordinance, 2001 Chief Justice Judge Judge Islamabad 02.09.2025 Approved for Reporting","2. exemption from income tax under sub - clause 2i of clause 58 of Part - I of the Second Schedule to the Income Tax Ordinance, 2001 Chief Justice Judge Islamabad 02.09.2025 Approved for Reporting"
judgement_C_P_L_A_2555_2022,"After recording the petitioner s statement, the family court, vide order dated 08.11.2012 dissolved the marriage and proceeded to CPLA Nos.2555 2556 OF 2025 3 frame issues. The petitioner's appeal against the family court s said judgment and decree was dismissed by the appellate court vide judgment and decree dated...","After recording the petitioner's statement, the family court, vide order dated 08.11.2012 dissolved the marriage and proceeded to CPA Nos.2555 2556 OF 2025 3 frame issues. The petitioner 's appeal against the family court's said judgment and decree was dismissed by the appellate court vide judgment and decree dated..."
judgement_Crl_P_L_A_1144_2025,"During investigation, 164 Cr.P.C. After completion of investigation, the petitioner was remanded to the judicial custody. Judge Judge Islamabad 27 August 2025 Atif APPROVED FOR REPORTING","During investigation, 164 Cr. P.C. After completion of investigation, the petitioner was remanded to the judicial custody. Judge Islamabad 27 August 2025 AIF APPROVED FOR REPORTING"
judgement_C_P_L_A_3-K_2023,It was further contended that the registered Lease Deed dated 28.3.1992 was cancelled on account of alleged fake approval despite issuing challans for payment of renewal of lease charges since long.,It was further contended that the registered Lease Deed dated 28.3.1992 was cancelled on account of alleged fake approval despite issuing challahs for payment of renewal of lease charges since long.
judgement_J_P_375_2023,Although the prosecution alleged in the FIR that petitioner Mst. es Announced in open Court at Islamabad on ASAw Sept et pad Approved for reporting.,Although the prosecution alleged in the FIR that petitioner MST. ES Announced in open Court at Islamabad on Saw Sept et pad Approved for reporting.
judgement_J_P_541_2021,"They remained consistent on all material aspects of the case. Consequently this petition is dismissed and leave is refused. JUDGE JUDGE Islamabad, the 27'h of August, 2025 Approved For Reporting","They remained consistent on all material aspects of the case. Consequently, this petition is dismissed and leave is refused. JUDGE Islamabad, the 27'h of August 2025 Approved For Reporting"
judgement_Crl_P_L_A_868_2025,"The minor Ahmed subsequently died, whereupon, offence under Section 302 was added in this case vide zimni No. The petitioner is granted postarrest bail subject to his furnishing of bail bonds in the sum of Rs.100,000- with two sureties in the like amount to the satisfaction of the learned Trial...","The minor Ahmed subsequently died, whereupon, offense under Section 302 was added in this case vide mini No. The petitioner is granted postarrest bail subject to his furnishing of bail bonds in the sum of Rs.100,000- with two sureties in the like amount to the satisfaction of the learned Trial..."
judgement_C_P_L_A_3824_2023,"The applicant must prove fraud, misrepresentation, or Pakistan Railways through Chairman Pakistan Railways, Islamabad and another vy. The scope of application under Section 122 CPC is broader than Order IX Rule 13, CPC, as it is not limited to ex-parte decrees and can be invoked by non-parties9. 6. JUDGE JUDGE...","The applicant must prove fraud, misrepresentation, or Pakistan Railways through Chairman Pakistan Railways, Islamabad and another by. The scope of application under Section 122 CPC is broader than Order IX Rule 13, CPC, as it is not limited to expert decrees and can be invoked by non - parties9. 6. JUDGE..."
judgement_J_P_611_2022,"In default of payment of fine they shall further undergo one year S.I each. 4. According to the First Information Report FIR, the occurrence in the instant case took place on 31.03.2016 at about 1130 p.m. Islamabad 18.08.2025 M.Siraj Afridi PS Approved for Reporting","In default of payment of fine they shall further undergo one year S.I. each. 4. According to the First Information Report FIR, the occurrence in the instant case took place on 31.03.2016 at about 1130 p.m. Islamabad 18.08.2025 M. Siraj Africa PS Approved for Reporting"
judgement_J_P_614_2021,"About two 02 months prior to the occurrence, the abovementioned Mst. It was claim of the petitioner right from the start of this case that Muhammad Abbas deceased, who was brother-in-law of the petitioner, was the aggressor and he even earlier caused injuries with Churri to the brother of the...","About two 02 months prior to the occurrence, the abovementioned MST. It was claim of the petitioner right from the start of this case that Muhammad Abbas deceased, who was brother - in - law of the petitioner, was the aggressor and he even earlier caused injuries with Churr to the brother of the..."
judgement_C_P_L_A_706_2021,"Shoaib Muhammad, Superintendent, he fairly conceded that no such opportunity was provided to the petitioner during the course of the departmental inquiry. 6. Obviously, if the reply to the show cause notice is not found satisfactory, the employermanagementcompetent authority may decide to hold an inquiry into the allegations and may...","Shoal Muhammad, Superintendent, he fairly conceded that no such opportunity was provided to the petitioner during the course of the departmental inquiry. 6. Obviously, if the reply to the show cause notice is not found satisfactory, the employermanagementcompetent authority may decide to hold an inquiry into the allegations and may..."
judgement_J_P_252_2020,He had admitted that Rehmatappellant is sole son of 7. His father gave Mukka blow on her belly and then had thrown her on the other side.,He had admitted that Rehmatappellant is sole son of 7. His father gave Pukka blow on her belly and then had thrown her on the other side.
judgement_J_P_559_2017,"At about 6.30 p.m, Mst. The house of Mst. JUDGE JUDGE JUDGE Islamabad, the 20 of August, 2025 Not Approved For Reporting","At about 6.30 p.m, MST. The house of MST. JUDGE Islamabad, the 20 of August 2025 Not Approved For Reporting"
judgement_J_P_276_2019,"The occurrence in this case took place in the fields of village Amli-Ka Athar Shah. The said eyewitnesses being residents of a different village were chance witnesses, therefore, they were bound to prove the reason of their presence at the relevant time at the spot, which was situated in a...","The occurrence in this case took place in the fields of village Alaska Attar Shah. The said eyewitnesses being residents of a different village were chance witnesses, therefore, they were bound to prove the reason of their presence at the relevant time at the spot, which was situated in a..."
judgement_C_P_L_A_339-L_2023,"339-L of 2023 2 held that the amended assessment order was passed in haste and, consequently, was annulled and the matter was remanded by the Commissioner with direction to proceed afresh against the respondent. 4. The Commissioner of Income Tax, Lahore 2023 SCMR 1166.","339 - L of 2023 2 held that the amended assessment order was passed in haste and, consequently, was annulled, and the matter was remanded by the Commissioner with direction to proceed afresh against the respondent. 4. The Commissioner of Income Tax, Lahore 2023 SCMR 1166."
judgement_C_P_L_A_4-K_2025,"Manzoor Hussain Larik, ASC. Mr. Badaruddin Memon AHC Syed Tanveer Abbas Shah, AHC Mr. Judge Judge Judge Karachi 05.06.2025 Khalid Approved for reporting","Manor Hussain Lark, ASC. Mr. Badaruddin Demon AHC Syed Tan veer Abbas Shah, AHC Mr. Judge Karachi 05.06.2025 Khalid Approved for reporting"
judgement_Crl_P_L_A_966_2018,"The learned SPG concluded his arguments by stating that the evidence overwhelmingly establishes S.H s willful participation and justified the conviction. 8. At the very outset it is pertinent to mention that the petitioner-S.H has been released from jail after having served out his sentence, however, the learned counsel for...","The learned SPG concluded his arguments by stating that the evidence overwhelmingly establishes S. H's willful participation and justified the conviction. 8. At the very outset it is pertinent to mention that the petitioner - S. H has been released from jail after having served out his sentence, however, the learned counsel for..."
judgement_C_P_L_A_1002_2025,He further submits that the above referred judgment of the FST was implemented by the Islamabad High Court in W.P. No. in Muhammad Junaid Jalil Khan24th CTP Case. Judge Judge Judge Islamabad 19.06.2025 Approved for Reporting Tanveer Ahmed,He further submits that the above referred judgment of the FST was implemented by the Islamabad High Court in W.P. No. in Muhammad Jun aid Jail Khan24th CTP Case. Judge Islamabad 19.06.2025 Approved for Reporting Tan veer Ahmed
judgement_Crl_P_L_A_1408_2025,"JUSTICE SYED HASAN AZHAR RIZVI MR. The petitioner is granted postarrest bail subject to his furnishing bail bonds in the sum of Rs.200,000- with one surety in the like amount to the satisfaction of the learned Trial Court. JUDGE JUDGE Islamabad, the 2nd of September, 2025 Not os For Reporting","JUSTICE SYED HASAN AZAR RAVI MR. The petitioner is granted postarrest bail subject to his furnishing bail bonds in the sum of Rs.200,000- with one surety in the like amount to the satisfaction of the learned Trial Court. JUDGE Islamabad, the 2nd of September 2025 Not OS For Reporting"
Copy of JUDG__7489,"It is argued that it would amount to making the Vice Chancellor judge in his own cause which would lead to unsavoury, rather ON Shariat Petition No.32T of 1992 unacceptable consequences.","It is argued that it would amount to making the Vice Chancellor judge in his own cause which would lead to unsavory, rather ON Sharia Petition No.32 T of 1992 unacceptable consequences."
Copy of JUDG__52,"Reference No.03I of 2021 JUDGMENT MUHAMMAD NOOR MESKANZAI, CJ --- Appellants Muhammad Akram, Nasir Abbas and Qamar Hussain have called in question the legality, validity and propriety of the judgment dated 08.11.2021 handed down by the learned Additional Sessions Judge, Pindi Bhattian, whereby the learned trial Court held the appellants...","Reference No.03I of 2021 JUDGMENT MUHAMMAD NOOR MESKANZAI, CJ --- Appellants Muhammad Abram, Nasir Abbas and Qatar Hussain have called in question the legality, validity and propriety of the judgment dated 08.11.2021 handed down by the learned Additional Sessions Judge, Hindi Haitian, whereby the learned trial Court held the appellants..."
Copy of JUDG__16,"He, however, neither examined himself on oath nor did he examine any person as his defence witness. 4. 09 of 2023 against the conviction judgment dated 25.08.2023, passed by the learned trial Court, CRIMINAL REVISION NO.01-K of 2024 Juman Vs.","He, however, neither examined himself on oath nor did he examine any person as his defense witness. 4. 09 of 2023 against the conviction judgment dated 25.08.2023, passed by the learned trial Court, CRIMINAL REVISION NO.01 - K of 2024 Human Vs."
Copy of JUDG__67,"On 10.05.2018 respondent Muhammad Idrees was arrested and was sent up with the subsequent challan. After completing the legal formalities, a formal charge was framed against accusedMuhammad Idrees the respondent , to which he pleaded not guilty and claimed his trial. 4. JUSTICE KHADIM HUSSAIN M.SHAIKH JUDGE JUSTICE MUHAMMAD NOOR...","On 10.05.2018 respondent Muhammad IDDEES was arrested and was sent up with the subsequent challah. After completing the legal formalities, a formal charge was framed against accused Muhammad IDDEES the respondent, to which he pleaded not guilty and claimed his trial. 4. JUSTICE KARIM HUSSAIN M.SHAIKH JUDGE JUSTICE MUHAMMAD NOOR..."
Copy of JUDG__7,"Appeal No.05-K of 2024 pleaded false implication by the police on the direction of their superiors. 04-K of 2024 Lw 6 Cr. Appeal No.05-K of 2024 CHIEF JUSTICE Announced in open Court, Islamabad, May 09, 2025 Ajmal Approved for Reporting. Chief Justice","Appeal No.05 - K of 2024 pleaded false implication by the police on the direction of their superiors. 04 - K of 2024 Lw 6 Cr. Appeal No.05 - K of 2024 CHIEF JUSTICE Announced in open Court, Islamabad, May 09, 2025, Akmal Approved for Reporting. Chief Justice"
