case_id,original,corrected
Copy of JUDG__95,It is alleged in the F.I.R Exh.PA that the driver of the said Flying Coach claimed the ownership of said narcotics. Submissions made by Mr.,It is alleged in the F.I.R Ex. PA that the driver of the said Flying Coach claimed the ownership of said narcotics. Submissions made by Mr.
Copy of JUDG__8036,"not provide for such a right to concerned department of the Provincial Government or to the Federal Government or its department concerned, It is further submitted that Section. It is also agitated that Section 54 of the sald Act does not provide any right of appeal to the Federal Government...","Not provide for such a right to concerned department of the Provincial Government or to the Federal Government or its department concerned, It is further submitted that Section. It is also agitated that Section 54 of the said Act does not provide any right of appeal to the Federal Government..."
Copy of JUDG__70,Appeal No.9I of 2020 not locked yet despite knocking for a considerable time the same was not opened. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE,Appeal No.9I of 2020 not locked yet despite knocking for a considerable time the same was not opened. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE
Copy of JUDG__46,sun Gs 2S a cob Us Gs -S DJA a Sok oe ub Gs Ge Soe 2016 ai 4I toael Cublowe je Cay yd 2017 4 7I rose GSlane ye Saag yd 2019 ai 4I rose GSlane ye Saag yd 2020 ui 3I posal CuSlawe je Cay yd 11 cS...,Sun Gs 2S a cob Us Gs -S DA a So OE UB Gs Ge SOE 2016 AI 4I towel Cubone JE Cay yd 2017 4 7I rose GS lane ye Sang yd 2019 AI 4I rose GS lane ye Sang yd 2020 UI 3I postal Cuspate JE Cay yd 11 CS...
Copy of JUDG__63,"vide order dated 19.04.2010. 7. Appeal No.05-K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting de-novo proceedings after framing of charge. 8. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR...","Vide order dated 19.04.2010. 7. Appeal No.05 - K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting Lenovo proceedings after framing of charge. 8. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR..."
Copy of JUDG__66,"After completing the investigation, final report under Section 173 of The Code was submitted wherein the name of appellant Muhammad Yousif was placed in Column No.2, finding him innocent. The learned counsel for appellants Ali Khan, Mour and Ahmed Ali alias Fouji adopting the arguments advanced by the Jail Criminal...","After completing the investigation, final report under Section 173 of The Code was submitted wherein the name of appellant Muhammad Yousuf was placed in Column No.2, finding him innocent. The learned counsel for appellants Ali Khan, Four and Ahmed Ali alias Fuji adopting the arguments advanced by the Jail Criminal..."
Copy of JUDG__4998,"About age of appellant Nasreen Akhtar, there is a Part of medical evidence which is, at the first sight, in conflict with the above-mentioned Ex,P.H. It is correct the Radio Grapher took X-ray were not taken in my presence.It is correct that certificate Ex.DWA is based on the report of...","About age of appellant Nasreen Akhtar, there is a Part of medical evidence which is, at the first sight, in conflict with the above - mentioned Ex, P.H. It is correct the Radio Graphed took X - ray were not taken in my presence. It is correct that certificate Ex. DA is based on the report of..."
Copy of JUDG__88,"Mian Qamar Gul Kakakhel, learned counsel representing the appellant argued that on the same set of evidence, five co-accused had been acquitted by the learned trial Court and on the strength of identical evidence the appellant has been convicted and sentenced, without independent and strong corroboratory evidence brought against him....","Main Qatar GUL Kazakh, learned counsel representing the appellant argued that on the same set of evidence, five co - accused had been acquitted by the learned trial Court and on the strength of identical evidence the appellant has been convicted and sentenced, without independent and strong corroboratory evidence brought against him...."
Copy of JUDG__8,"Appeal No.51 of 2024 and Crl. The Trial Court is directed to decide the case within the period of three 03 months, positively. JUSTICE DR. SYED MUHAMMAD ANWER JUDGE JUSTICE IQBAL HAMEEDUR RAHMAN CHIEF JUSTICE JUSTICE AMEER MUHAMMAD KHAN JUDGE Announced in Open Court on 30.05.2025, at Islamabad. Khalid","Appeal No.51 of 2024 and CRL. The Trial Court is directed to decide the case within the period of three 03 months, positively. JUSTICE DR. SYED MUHAMMAD ANSWER JUDGE JUSTICE IQBAL HAMMER RAHMAN CHIEF JUSTICE AMBER MUHAMMAD KHAN JUDGE Announced in Open Court on 30.05.2025, at Islamabad. Khalid"
Copy of JUDG__30,ploy dyle dhl pe. SYED MUHAMMAD ANWER ACTING CHIEF JUSTICE JUSTICE KHADIM HUSSAIN M. SHAIKH JUDGE Khalid APPROVED FOR REPORTING. JUSTICE DR. SYED MUHAMMAD ANWER ACTING CHIEF JUSTICE,Ploy Dale DHL pe. SYED MUHAMMAD ANSWER ACTING CHIEF JUSTICE KARIM HUSSAIN M. SHAIKH JUDGE Khalid APPROVED FOR REPORTING. JUSTICE DR. SYED MUHAMMAD ANSWER ACTING CHIEF JUSTICE
Copy of JUDG__18,"Tahira Bibi, Muhammad Kashif and his brother Rashid Ali were again conducted but again its report came negative . IQBAL HAMEEDUR RAHMAN CHIEF JUSTICE DR. SYED MUHAMMAD ANWER JUDGE Dated 29.02.2024 Ajmal Approved for reporting. CHIEF JUSTICE","Third Bibi, Muhammad Kashmir and his brother Rashid Ali were again conducted but again its report came negative. IQBAL HAMMER RAHMAN CHIEF JUSTICE DR. SYED MUHAMMAD ANSWER JUDGE Dated 29.02.2024 Akmal Approved for reporting. CHIEF JUSTICE"
Copy of JUDG__55,"vide order dated 19.04.2010. 7. Appeal No.05-K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting de-novo proceedings after framing of charge. 8. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR...","Vide order dated 19.04.2010. 7. Appeal No.05 - K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting Lenovo proceedings after framing of charge. 8. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR..."
Copy of JUDG__71,He recorded the statements of witnesses under Section 161 Cr.P.C. accused Muhammad Fazil showed his willingness to sleep in the room of the complainantdeceased. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE Announced in Open Court On 30.04.2021 at Islamabad. Mubashir,He recorded the statements of witnesses under Section 161 Cr. P.C. accused Muhammad Fail showed his willingness to sleep in the room of the complainant deceased. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE Announced in Open Court On 30.04.2021 at Islamabad. Bashir
Copy of JUDG__31,"That pursuant to hearing the arguments of the petitioner at length, we had dismissed the petition in hand vide our short order dated 19.09.2023. In following Hadith, an incident of Habibah bint Sahl RA, who was another wife of Thabit bin Qais RA is narrated, which is also reported in...","That pursuant to hearing the arguments of the petitioner at length, we had dismissed the petition in hand vide our short order dated 19.09.2023. In following Hadith, an incident of Habitat bit Sail RA, who was another wife of Habit bin Dais RA is narrated, which is also reported in..."
Copy of JUDG__86,Khadim Sheedi fired from his pistol at my brother Uris as a result thereof he fell down on the ground. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE,Karim Speed fired from his pistol at my brother Uri 's as a result thereof he fell down on the ground. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE
Copy of JUDG__41,"Since the impugned judgment has been set aside, therefore, the Revision petition No.2P of 2020 filed by the complainant has become infructuous. The penultimate paragraphs of the said judgment for the sake of convenience are reproduced here 10.","Since the impugned judgment has been set aside, therefore, the Revision petition No.2P of 2020 filed by the complainant has become unfructuous. The penultimate paragraphs of the said judgment for the sake of convenience are reproduced here 10."
Copy of JUDG__53,"2s Government of Punjab, through its Secretary Law and Parliamentary Affairs, Law and Parliamentary Affairs Department, Civil Secretariat, Lahore. Learned counsel further argued litigation of a case involving the petitioners and argued that the orders passed by the courts below, including the Lahore High Court, are erroneous in nature and...","2s Government of Punjab, through its Secretary Law and Parliamentary Affairs, Law and Parliamentary Affairs Department, Civil Secretariat, Lahore. Learned counsel further argued litigation of a case involving the petitioners and argued that the orders passed by the courts below, including the Lahore High Court, are erroneous in nature and..."
Copy of JUDG__6657,P.W.3 Khuda Bakhsh ASI and P.W.4 Rustam Ali Sub Inspector of Special Branch were both witnesses of the recovery of the heroin from the polythene bag which was found in the possession of the appellant.,P.W.3 Kinda Baths ASI and P.W.4 RUSTA Ali Sub Inspector of Special Branch were both witnesses of the recovery of the heroin from the polythene bag which was found in the possession of the appellant.
Copy of JUDG__51,"Learned Additional Prosecutor General, Sindh has mainly contended that the prosecution by examining 08 witnesses and producing all the necessary documents including postmortem report, MLCs, memos of place of vardhat, recovery of empties, danistnama, sketches, arrest of the appellant and blood stained clothes of the deceased etc, has proved its...","Learned Additional Prosecutor General, Sindh has mainly contended that the prosecution by examining 08 witnesses and producing all the necessary documents including postmortem report, MLCs, memos of place of Vardar, recovery of empties, danistnama, sketches, arrest of the appellant and blood stained clothes of the deceased etc., has proved its..."
Copy of JUDG__104,"In default of payment of the compensation, the accused shall further suffer imprisonment for period of six months while Said amount of compensation shall be recoverable as arrears of land revenue.","In default of payment of the compensation, the accused shall further suffer imprisonment for period of six months while Said amount of compensation shall be recoverable as arrears of land revenue."
Copy of JUDG__45,"Gibran as PW.4 at Ex.11, who produced provisional and final Medico Legal Certificates of injured Asad at Ex.11A and Ex.11B police letter of injured Bashir at Ex.11C, provisional Medico Legal Certificate of injured Bashir at Ex.11D Dr. JUSTICE KHADIM HUSSAIN M.SHAIKH JUDGE JUSTICE DR. SYED MUHAMMAD ANWER ACTING CHIEF JUSTICE...","Gibran as PW.4 at Ex.11, who produced provisional and final Medico Legal Certificates of injured Sad at Ex.11A and Ex.11B police letter of injured Bashir at Ex.11C, provisional Medico Legal Certificate of injured Bashir at Ex.11D Dr. JUSTICE KARIM HUSSAIN M.SHAIKH JUDGE JUSTICE DR. SYED MUHAMMAD ANSWER ACTING CHIEF JUSTICE..."
Copy of JUDG__65,"Appeal No.23K of 2018 the convicts jointly preferred Jail Cr. The State and Cr. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE Dated, Islamabad, the 4 June, 2021 Imran","Appeal No.23 K of 2018 the convicts jointly preferred Jail Cr. The State and Cr. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE Dated, Islamabad, the 4 June 2021 Imran"
Copy of JUDG__34,The right to file a complaint against the husband by a woman before the competent authority does very clearly and strongly exists in Islam according to the injunctions of Islam.,The right to file a complaint against the husband by a woman before the competent authority does very clearly and strongly exists in Islam according to the injunctions of Islam.
Copy of JUDG__22,"The present appellant was arrested by PW-4 Muhammad Sher ASI on 22.11.2022 and he submitted the report under Section 173 Cr.P.C, thereafter the formalities were completed and on 28.01.2023 the present appellant was charged sheeted for the abduction of said Shamim Akhtar for commission of illicit intercourse and applied sections...","The present appellant was arrested by PW-4 Muhammad Her ASI on 22.11.2022, and he submitted the report under Section 173 Cr. P. C, thereafter the formalities were completed and on 28.01.2023 the present appellant was charged sheeted for the abduction of said Shame Akhtar for commission of illicit intercourse and applied sections..."
Copy of JUDG__59,"nor produced any evidence in his defence. 7. The trial court shall complete this process within a span of two months after receipt of this judgment under intimation to this Court. JUSTICE DR. SYED MUHAMMAD ANWER JUSTICE KHADIM HUSSAIN M. SHAIKH Announced in Open Court Islamabad the 05 May, 2021....",Nor produced any evidence in his defense. 7. The trial court shall complete this process within a span of two months after receipt of this judgment under intimation to this Court. JUSTICE DR. SYED MUHAMMAD ANSWER JUSTICE KARIM HUSSAIN M. SHAIKH Announced in Open Court Islamabad the 05 May 2021....
Copy of JUDG__87,"Seeking help from the Ratio of a case, decided by learned Sindh High Court, it was argued that words attributed clearly suggest illicit liaison within the meaning of Section 4 of Ordinance VII of 1979. Before examining the moot point, one has to dilate upon the definitions of Qazf and...","Seeking help from the Ratio of a case, decided by learned Sindh High Court, it was argued that words attributed clearly suggest illicit liaison within the meaning of Section 4 of Ordinance VII of 1979. Before examining the moot point, one has to dilate upon the definitions of AZF and..."
Copy of JUDG__82,with Nabi Kareem S A W. prohibited such marriages. SYED MUHAMMAD ANWER JUSTICE KHADIM HUSSAIN M. SHAIKH Announced in open Court On 25.10.2021 at Islamabad oe peor bet,With Nazi Kareem S A W. prohibited such marriages. SYED MUHAMMAD ANSWER JUSTICE KARIM HUSSAIN M. SHAIKH Announced in open Court On 25.10.2021 at Islamabad OE poor bet
Copy of JUDG__93,"He maintained that he was called and beaten by complainant P.W.1 and his brother Akhtar, advancing threats to kill him. SHAUKAT ALI RAKHSHANI JUDGE MEHMOOD MAQBOOL BAJWA JUDGE SYED MUHAMMAD FAROOQ SHAH JUDGE Islamabad, 4th of February,2019 M.Akram","He maintained that he was called and beaten by complainant P.W.1 and his brother Akhtar, advancing threats to kill him. SHANKAR ALI PAKISTANI JUDGE MAHMOOD MacBook BAJA JUDGE SYED MUHAMMAD FAROOQ SHAH JUDGE Islamabad, 4th of February 2019 M. Akram"
Copy of JUDG__58,"At the trial, the prosecution examined in all 10 PWs and after closure of the prosecution side, the statement of the respondent was recorded under Section 342, Cr.P.C, wherein he denying the prosecution allegations, professed his innocence and false implication in the subject case. JUSTICE KHADIM HUSSAIN M. SHAIKH JUDGE...","At the trial, the prosecution examined in all 10 PWs and after closure of the prosecution side, the statement of the respondent was recorded under Section 342, Cr. P. C, wherein he 's denying the prosecution allegations, professed his innocence and false implication in the subject case. JUSTICE KARIM HUSSAIN M. SHAIKH JUDGE..."
Copy of JUDG__37,"Banking Companies Recovery of Loans Ordinance, 1979. 4. The Shariat Appellate Bench of the Supreme Court directed certain special departments to be established within the State Bank. JUSTICE MUHAMMAD NOOR Chief Justice Announced in Open Court On 28-04-2022 at Islamabad. Imran","Banking Companies Recovery of Loans Ordinance, 1979. 4. The Sharia Appellate Bench of the Supreme Court directed certain special departments to be established within the State Bank. JUSTICE MUHAMMAD NOOR Chief Justice Announced in Open Court On 28 - 04 - 2022 at Islamabad. Imran"
Copy of JUDG__72,"Earlier, both the parties feeling aggrieved with the judgment dated 11.07.2020 filed appeal and revision petition. The respondent did not raise any objection on the charge when it was framed by the learned trial Court and answered by the accused, which, of course, was a proper juncture for any objection.","Earlier, both the parties feeling aggrieved with the judgment dated 11.07.2020 filed appeal and revision petition. The respondent did not raise any objection on the charge when it was framed by the learned trial Court and answered by the accused, which, of course, was a proper juncture for any objection."
Copy of JUDG__79,after more than 21 days of incident and 10 days of the F.I.R without any plausible explanation thereof. In the wake of the afore-mentioned unexplained inordinate delay in lodgment of the F.I.R and in recording statement under Section 161 Cr.P.C of the alleged solitary eye witness P.W.4 injured Imran Ali...,After more than 21 days of incident and 10 days of the F.I.R without any plausible explanation thereof. In the wake of the afore - mentioned unexplained inordinate delay in lodgment of the F.I.R and in recording statement under Section 161 Cr. P. C of the alleged solitary eyewitness P.W.4 injured Imran Ali...
Copy of JUDG__97,"P.W.8 Fazal Ghafoor, S.I was entrusted with the investigation of the case, who rushed to the hospital, secured white cloth chadar through recovery memo Ex.P.W.81, duly handed over by P.W.10 Dr.Inam Ullah, whereafter he went to the crime scene and prepared site planEx.P.W.82. On 16.3.2016 the owner of the vehicle...","P.W.8 Fatal Harbor, S.I. was entrusted with the investigation of the case, who rushed to the hospital, secured white cloth chador through recovery memo Ex. P.W.81, duly handed over by P.W.10 Dr. Inam Allah, thereafter he went to the crime scene and prepared site plane. P.W.82. On 16.3.2016 the owner of the vehicle..."
Copy of JUDG__40,"The State 6. I have carefully considered the submissions of the learned Counsel for the applicants, and the learned Addl. JUSTICE KHADIM HUSSAIN M.SHAIKH JUDGE khurram","The State 6. I have carefully considered the submissions of the learned Counsel for the applicants, and the learned Add. JUSTICE KARIM HUSSAIN M.SHAIKH JUDGE hurrah"
Copy of JUDG__9698,"thax to adopt these restrictions as respectfVany Highway to which section 8 is not applicable after publicatio of public notices inviting objections and the sanction of the government. Like other provisions already noticed for the compensation of damage, sub-Section2of Section 17 states that the Highway Authority shall pay compensation to...","That to adopt these restrictions as respectively Highway to which section 8 is not applicable after publication of public notices inviting objections and the sanction of the government. Like other provisions already noticed for the compensation of damage, sub - Section2of Section 17 states that the Highway Authority shall pay compensation to..."
Copy of JUDG__102,"This 1s not a bald assertion on behalf of the witness as the facts were incorporated by him in Rapt No 22 at 2035 hours We have gone through the contents of Rapt No 22 Ex.14-A, which was entered at 20 35 hours. formulated following points amongst others to be...","This 1s not a bald assertion on behalf of the witness as the facts were incorporated by him in Rapt No 22 at 2035 hours We have gone through the contents of Rapt No 22 Ex.14 - A, which was entered at 20 35 hours. Formulated following points amongst others to be..."
Copy of JUDG__42,"However, while going through the record for writing judgment, we found some irregularities in the statements of the appellants under Section 342 of The Code.","However, while going through the record for writing judgment, we found some irregularities in the statements of the appellants under Section 342 of The Code."
Copy of JUDG__14,"Through instant Shariat Petition the petitioner challenges section 176A of the Pakistan Army Act, 1952 whereby she prayed that ADS 9 S176A SH 861952 Gash aT OSU pI 1 GIS AS Sige Cup Oly slaw Ade CS Chmdl Cpa gaye sk AS 9m gS Ul gety Cle Lo gS Gel...","Through instant Sharia Petition the petitioner challenges section 176A of the Pakistan Army Act, 1952 whereby she prayed that ADS 9 S176A SH 861952 Gash at OSU pi 1 GIS AS Side Cup Only law Ade CS Child CPA Gaye SK AS 9 m GS UL get CLE Lo GS Gel..."
Copy of JUDG__19,"Tazim Akhter, wife of Arshad Mehmood. to confirm the assertion made by these two witnesses who according to both the courts below are the witnesses of ocular account.","Tarim Akhtar, wife of Ar shad Mahmood. To confirm the assertion made by these two witnesses who according to both the courts below are the witnesses of ocular account."
Copy of JUDG__32,"Hence, in the light of this direction of Allah it was the practice of the Holy Prophet SAW that usually he heard and sought different opinions from different persons or different groups of persons before arriving at a final decision concerning the administrative affairs of the government. 6. For the...","Hence, in the light of this direction of Allah it was the practice of the Holy Prophet SAW that usually he heard and sought different opinions from different persons or different groups of persons before arriving at a final decision concerning the administrative affairs of the government. 6. For the..."
Copy of JUDG__61,"Sakeena Bibi, an adult Muslim girl, contracted Nikah with Syed Mushahid Hussain petitioner No.2 in his house with her consent and freewill on 18.05.2015. ii That before the solemnization of Nikah on 18.05.2015, the parents of Syed Mushahid Hussain petitioner No.2 formally asked the hand of Mst. After refusal, the...","Sheena Bibi, an adult Muslim girl, contracted Nika with Syed Shahid Hussain petitioner No.2 in his house with her consent and freewill on 18.05.2015. Ii That before the solemnization of Nika on 18.05.2015, the parents of Syed Shahid Hussain petitioner No.2 formally asked the hand of MST. After refusal, the..."
Copy of JUDG__38,25 74 My Lord ot J oll SRY i gt at yn at ps alla pla 1S S055 oS AB cob GS Gb LS ba Ge 65 Le Spel -10 SSN gie eg gluse nl ap IS GLb a Ga WS ald Gaal Oo bl Lge Sona Jae mill Ga...,25 74 My Lord OT J all DRY i GT at in at PS alley PLA 1S S055 OS AB cob GS Gb LS BA Ge 65 Le Spell -10 SSN GIE e.g. glue NL ap IS Lb a Ga WS ALD Goal OO by Age Son Joe mill Ga...
Copy of JUDG__101,"Case FIR No, date -- No.317 dated 17.07.2013 Police Station. For the sake of convenience, penultimate paragraph 4 of impugned order is reproduced hereinbelow The record shows that no identification parade of the accused from the complainant has been conducted so far.","Case FIR No, date -- No.317 dated 17.07.2013 Police Station. For the sake of convenience, penultimate paragraph 4 of impugned order is reproduced herein below The record shows that no identification parade of the accused from the complainant has been conducted so far."
Copy of JUDG__81,It was contended that the provision of Sections 7 25 of the Act are used to be pressed into service just to deprive the natural guardian i.e. It was further contended that the father enjoys an absolute right to appoint a nurse for breast feeding of his minor by referring...,It was contended that the provision of Sections 7 25 of the Act are used to be pressed into service just to deprive the natural guardian i.e. It was further contended that the father enjoys an absolute right to appoint a nurse for breastfeeding of his minor by referring...
Copy of JUDG__44,"This position has not been disputed. 172010 at P.S Gheehal Pur offence under Sections 324, 353, 401, 148, 149 PPC FIR No. JUSTICE KHADIM HUSSAIN M. SHAIKH Imran","This position has not been disputed. 172010 at P. S Sheehan PUR offense under Sections 324, 353, 401, 148, 149 PPC FIR No. JUSTICE KARIM HUSSAIN M. SHAIKH Imran"
Copy of JUDG__47,Lubna Bibi during the course of robbery that the appellant himself confessing his guilt voluntarily recorded his confessional statement before the learned Judicial Magistrate-V Peshawar that the recovery of robbed ornaments of gold was made on the pointation of the appellant that the medical evidence is in line with the...,Luna Bibi during the course of robbery that the appellant himself confessing his guilt voluntarily recorded his confessional statement before the learned Judicial Magistrate - V Peshawar that the recovery of robbed ornaments of gold was made on the plantation of the appellant that the medical evidence is in line with the...
Copy of JUDG__96,Then accused persons forcibly tried to snatch complainant's vehicle. Criminal Appeal No.06-Q of 2019 Criminal Appeal No.07-Q of 2019 Crl. Murder Ref. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR MESKANZAT CHIEF JUSTICE JUSTICE KHADIM HUSSAIN M. SHAIKH Announced in Open Court On 30.04.2021 at Islamabad Mubashir,Then accused persons forcibly tried to snatch complainant 's vehicle. Criminal Appeal No.06 - Q of 2019 Criminal Appeal No.07 - Q of 2019 CRL. Murder Ref. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR MESKANZAT CHIEF JUSTICE KARIM HUSSAIN M. SHAIKH Announced in Open Court On 30.04.2021 at Islamabad Bashir
Copy of JUDG__7771,"This implies that justice is to be imparted in full the dispute is to be settled in full without charging anything called as court-fee or call it by any other name. In verse 84 of Surah Hood after commanding the giving of full measure of weight, there is warning for...","This implies that justice is to be imparted in full the dispute is to be settled in full without charging anything called as court - fee or call it by any other name. In verse 84 of Surah Hood after commanding the giving of full measure of weight, there is warning for..."
Copy of JUDG__3,"So far as the subsequent findings of the learned Judge Family Court regarding dissolution of marriage is concerned, the learned trial court can take notice of the same if the petitioner brings any evidence on record in this regard. IQBAL HAMEEDUR RAHMAN CHIEF JUSTICE Announced in open Court Dated 15'May,...","So far as the subsequent findings of the learned Judge Family Court regarding dissolution of marriage is concerned, the learned trial court can take notice of the same if the petitioner brings any evidence on record in this regard. IQBAL HAMMER RAHMAN CHIEF JUSTICE Announced in open Court Dated 15'May,..."
Copy of JUDG__57,Then accused persons forcibly tried to snatch complainant's vehicle. Criminal Appeal No.06-Q of 2019 Criminal Appeal No.07-Q of 2019 Crl. Murder Ref. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR MESKANZAT CHIEF JUSTICE JUSTICE KHADIM HUSSAIN M. SHAIKH Announced in Open Court On 30.04.2021 at Islamabad Mubashir,Then accused persons forcibly tried to snatch complainant 's vehicle. Criminal Appeal No.06 - Q of 2019 Criminal Appeal No.07 - Q of 2019 CRL. Murder Ref. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR MESKANZAT CHIEF JUSTICE KARIM HUSSAIN M. SHAIKH Announced in Open Court On 30.04.2021 at Islamabad Bashir
Copy of JUDG__89,"HDQ-2518, Honda CD70, was forcibly snatched from the Complainant Muhammad Nawaz on gun point by the appellants when he was plying the said motorcycle and PW AftabHussain was sitting on rear seat. Formal charge under section 17 3 of The Offences Against Property Enforcement of Hudood Ordinance, 1979, read with...","HDQ-2518, Honda CD70, was forcibly snatched from the Complainant Muhammad Nawab on gun point by the appellants when he was plying the said motorcycle and PW AftabHussain was sitting on rear seat. Formal charge under section 17 3 of The Offenses Against Property Enforcement of Hudson Ordinance, 1979, read with..."
Copy of JUDG__78,"Brief facts of the case as per F.LR. On the day of occurrence, he along with his elder brother Gul Muhammad deceased, after closing the Bakery shop was proceeding to his home on motorcycle driven by his brother Gul Muhammad while he was seated behind him.","Brief facts of the case as per F.LR. On the day of occurrence, he along with his elder brother GUL Muhammad deceased, after closing the Bakery shop was proceeding to his home on motorcycle driven by his brother GUL Muhammad while he was seated behind him."
Copy of JUDG__35,"Any amount big or small, over the principal, ina contract of loan or debt in ' riba prohibited by the Holy Quran, regardless of whether the loan is taken for the purpose of consumption or for some production activity there is no difference between different types of loans so far...","Any amount big or small, over the principal, Ina contract of loan or debt in ' RIBA prohibited by the Holy Quran, regardless of whether the loan is taken for the purpose of consumption or for some production activity there is no difference between different types of loans so far..."
Copy of JUDG__76,"3L of 2008 was filed by Ambreen Tariq Awan, Advocate in this Court wherein Sections 7, 17 and 27 of the Guardians and Wards Act, 1890 were challenged on the ground that these sections are repugnant to the Injunctions of Holy Quran and the Sunnah of Holy Prophet Peace And...","3L of 2008 was filed by Moreen Tariq Away, Advocate in this Court wherein Sections 7, 17 and 27 of the Guardians and Wards Act, 1890 were challenged on the ground that these sections are repugnant to the Injunctions of Holy Quran and the Sunnah of Holy Prophet Peace And..."
Copy of JUDG__28,Men hove control and responsibilities over women. The World Athletics bans transgender women from taking part in female events.,Men hove control and responsibilities over women. The World Athletics bans transgender women from taking part in female events.
