Query Case No.,Rank,Similar Case No.,Similarity Score
Copy of JUDG__1,1,Copy of JUDG__91,0.2394
Copy of JUDG__1,2,Copy of JUDG__93,0.208
Copy of JUDG__1,3,judgement_J_P_559_2017,0.2044
Copy of JUDG__1,4,Copy of JUDG__45,0.1999
Copy of JUDG__1,5,Copy of JUDG__76,0.1969
Copy of JUDG__10,1,judgement_C_P_L_A_3824_2023,0.2278
Copy of JUDG__10,2,Copy of JUDG__37,0.1875
Copy of JUDG__10,3,judgement_C_P_L_A_2555_2022,0.1822
Copy of JUDG__10,4,judgement_Crl_P_L_A_433_2025,0.1763
Copy of JUDG__10,5,Copy of JUDG__7489,0.1756
Copy of JUDG__101,1,judgement_Crl_P_L_A_1184_2025,0.2403
Copy of JUDG__101,2,Copy of JUDG__9366,0.2136
Copy of JUDG__101,3,Copy of JUDG__7489,0.1714
Copy of JUDG__101,4,Copy of JUDG__94,0.1525
Copy of JUDG__101,5,Copy of JUDG__86,0.1451
Copy of JUDG__102,1,Copy of JUDG__61,0.2683
Copy of JUDG__102,2,judgement_C_A_1388_2017,0.2584
Copy of JUDG__102,3,judgement_C_P_L_A_74_2025,0.2436
Copy of JUDG__102,4,judgement_C_P_L_A_1032-K_2025,0.2094
Copy of JUDG__102,5,Copy of JUDG__37,0.2024
Copy of JUDG__103,1,Copy of JUDG__71,0.3035
Copy of JUDG__103,2,judgement_C_P_L_A_2788_2022,0.2221
Copy of JUDG__103,3,Copy of JUDG__45,0.2016
Copy of JUDG__103,4,judgement_Crl_A_343_2023,0.1985
Copy of JUDG__103,5,Copy of JUDG__55,0.1963
Copy of JUDG__104,1,Copy of JUDG__49,0.2621
Copy of JUDG__104,2,Copy of JUDG__43,0.2054
Copy of JUDG__104,3,Copy of JUDG__7222,0.1957
Copy of JUDG__104,4,Copy of JUDG__87,0.1927
Copy of JUDG__104,5,Copy of JUDG__41,0.1913
Copy of JUDG__105,1,Copy of JUDG__28,0.344
Copy of JUDG__105,2,judgement_C_A_209_2025,0.2276
Copy of JUDG__105,3,Copy of JUDG__5,0.2063
Copy of JUDG__105,4,Copy of JUDG__78,0.2022
Copy of JUDG__105,5,Copy of JUDG__88,0.2005
Copy of JUDG__11,1,Copy of JUDG__4,0.1982
Copy of JUDG__11,2,Copy of JUDG__63,0.1961
Copy of JUDG__11,3,Copy of JUDG__6657,0.1944
Copy of JUDG__11,4,Copy of JUDG__21,0.1833
Copy of JUDG__11,5,Copy of JUDG__87,0.1727
Copy of JUDG__12,1,judgement_J_P_286_2020,0.2665
Copy of JUDG__12,2,Copy of JUDG__39,0.2405
Copy of JUDG__12,3,Copy of JUDG__86,0.2021
Copy of JUDG__12,4,judgement_C_P_L_A_74_2025,0.2003
Copy of JUDG__12,5,judgement_Crl_P_L_A_960_2025,0.1922
Copy of JUDG__13,1,judgement_Crl_P_L_A_585_2025,0.228
Copy of JUDG__13,2,judgement_C_P_L_A_88-P_2022,0.191
Copy of JUDG__13,3,judgement_J_P_559_2017,0.1785
Copy of JUDG__13,4,judgement_Crl_P_L_A_1121_2021,0.1737
Copy of JUDG__13,5,judgement_C_A_209_2025,0.17
Copy of JUDG__14,1,Copy of JUDG__4998,0.2376
Copy of JUDG__14,2,Copy of JUDG__4,0.224
Copy of JUDG__14,3,Copy of JUDG__2,0.223
Copy of JUDG__14,4,Copy of JUDG__83,0.1983
Copy of JUDG__14,5,judgement_C_P_L_A_407-K_2021,0.1977
Copy of JUDG__15,1,Copy of JUDG__93,0.2319
Copy of JUDG__15,2,Copy of JUDG__39,0.1916
Copy of JUDG__15,3,Copy of JUDG__103,0.1664
Copy of JUDG__15,4,Copy of JUDG__64,0.1642
Copy of JUDG__15,5,Copy of JUDG__7489,0.1468
Copy of JUDG__16,1,Copy of JUDG__93,0.2212
Copy of JUDG__16,2,Copy of JUDG__78,0.2193
Copy of JUDG__16,3,Copy of JUDG__4998,0.205
Copy of JUDG__16,4,Copy of JUDG__21,0.2034
Copy of JUDG__16,5,Copy of JUDG__47,0.1986
Copy of JUDG__17,1,judgement_J_P_554_2023,0.2698
Copy of JUDG__17,2,Copy of JUDG__27,0.2238
Copy of JUDG__17,3,Copy of JUDG__31,0.2114
Copy of JUDG__17,4,Copy of JUDG__4,0.2085
Copy of JUDG__17,5,Copy of JUDG__9700,0.191
Copy of JUDG__18,1,Copy of JUDG__35,0.205
Copy of JUDG__18,2,Copy of JUDG__27,0.2024
Copy of JUDG__18,3,judgement_C_P_L_A_1107-L_2015,0.1999
Copy of JUDG__18,4,Copy of JUDG__8036,0.1999
Copy of JUDG__18,5,Copy of JUDG__14,0.1968
Copy of JUDG__19,1,Copy of JUDG__37,0.2458
Copy of JUDG__19,2,Copy of JUDG__88,0.2218
Copy of JUDG__19,3,Copy of JUDG__63,0.1991
Copy of JUDG__19,4,judgement_Crl_P_L_A_147-K_2025,0.1975
Copy of JUDG__19,5,judgement_C_P_L_A_1107-L_2015,0.1902
Copy of JUDG__2,1,judgement_Crl_P_L_A_868_2025,0.2264
Copy of JUDG__2,2,Copy of JUDG__14,0.223
Copy of JUDG__2,3,Copy of JUDG__49,0.2199
Copy of JUDG__2,4,judgement_Crl_P_L_A_966_2018,0.2052
Copy of JUDG__2,5,Copy of JUDG__9700,0.2043
Copy of JUDG__20,1,Copy of JUDG__68,0.2537
Copy of JUDG__20,2,Copy of JUDG__7489,0.236
Copy of JUDG__20,3,Copy of JUDG__67,0.1534
Copy of JUDG__20,4,Copy of JUDG__6,0.1463
Copy of JUDG__20,5,judgement_C_P_L_A_407-K_2021,0.1412
Copy of JUDG__21,1,Copy of JUDG__16,0.2034
Copy of JUDG__21,2,judgement_Crl_P_L_A_1055_2025,0.2025
Copy of JUDG__21,3,Copy of JUDG__28,0.1897
Copy of JUDG__21,4,Copy of JUDG__91,0.1839
Copy of JUDG__21,5,Copy of JUDG__11,0.1833
Copy of JUDG__22,1,judgement_Crl_A_351_2023,0.2532
Copy of JUDG__22,2,judgement_C_P_L_A_2788_2022,0.2482
Copy of JUDG__22,3,Copy of JUDG__34,0.2367
Copy of JUDG__22,4,judgement_J_P_559_2017,0.2338
Copy of JUDG__22,5,judgement_C_P_L_A_385-L_2021,0.2255
Copy of JUDG__23,1,judgement_J_P_541_2021,0.2851
Copy of JUDG__23,2,Copy of JUDG__8,0.2666
Copy of JUDG__23,3,Copy of JUDG__67,0.207
Copy of JUDG__23,4,judgement_Crl_P_L_A_433_2025,0.1832
Copy of JUDG__23,5,Copy of JUDG__62,0.1756
Copy of JUDG__24,1,Copy of JUDG__91,0.3157
Copy of JUDG__24,2,Copy of JUDG__7222,0.241
Copy of JUDG__24,3,judgement_C_P_L_A_5929_2024,0.2108
Copy of JUDG__24,4,Copy of JUDG__43,0.1842
Copy of JUDG__24,5,Copy of JUDG__2,0.1789
Copy of JUDG__25,1,Copy of JUDG__63,0.3675
Copy of JUDG__25,2,judgement_C_P_L_A_407-K_2021,0.2721
Copy of JUDG__25,3,judgement_C_A_101-K_2022,0.253
Copy of JUDG__25,4,judgement_Crl_A_351_2023,0.2456
Copy of JUDG__25,5,Copy of JUDG__4998,0.2435
Copy of JUDG__26,1,judgement_C_P_L_A_2555_2022,0.2399
Copy of JUDG__26,2,Copy of JUDG__52,0.236
Copy of JUDG__26,3,judgement_J_P_252_2020,0.2016
Copy of JUDG__26,4,judgement_Crl_A_351_2023,0.1956
Copy of JUDG__26,5,Copy of JUDG__74,0.1824
Copy of JUDG__27,1,judgement_C_P_L_A_74_2025,0.2341
Copy of JUDG__27,2,Copy of JUDG__17,0.2238
Copy of JUDG__27,3,Copy of JUDG__36,0.212
Copy of JUDG__27,4,Copy of JUDG__18,0.2024
Copy of JUDG__27,5,Copy of JUDG__9700,0.2017
Copy of JUDG__28,1,Copy of JUDG__105,0.344
Copy of JUDG__28,2,Copy of JUDG__9366,0.2762
Copy of JUDG__28,3,judgement_Crl_P_L_A_147-K_2025,0.1986
Copy of JUDG__28,4,judgement_J_P_252_2020,0.1934
Copy of JUDG__28,5,Copy of JUDG__71,0.1903
Copy of JUDG__29,1,judgement_J_P_375_2023,0.2437
Copy of JUDG__29,2,judgement_C_P_L_A_78-K_2024,0.2317
Copy of JUDG__29,3,Copy of JUDG__47,0.2259
Copy of JUDG__29,4,Copy of JUDG__8036,0.2186
Copy of JUDG__29,5,Copy of JUDG__65,0.2183
Copy of JUDG__3,1,Copy of JUDG__33,0.2346
Copy of JUDG__3,2,judgement_C_P_L_A_339-L_2023,0.2261
Copy of JUDG__3,3,judgement_J_P_614_2021,0.2113
Copy of JUDG__3,4,Copy of JUDG__78,0.2111
Copy of JUDG__3,5,judgement_C_P_L_A_88-P_2022,0.1876
Copy of JUDG__30,1,judgement_C_P_L_A_147-K_2023,0.3546
Copy of JUDG__30,2,Copy of JUDG__88,0.2621
Copy of JUDG__30,3,Copy of JUDG__7486,0.2395
Copy of JUDG__30,4,judgement_C_A_1388_2017,0.2223
Copy of JUDG__30,5,Copy of JUDG__32,0.2076
Copy of JUDG__31,1,judgement_C_P_L_A_1032-K_2025,0.2382
Copy of JUDG__31,2,Copy of JUDG__17,0.2114
Copy of JUDG__31,3,Copy of JUDG__16,0.1977
Copy of JUDG__31,4,Copy of JUDG__47,0.1954
Copy of JUDG__31,5,judgement_Crl_P_L_A_1121_2021,0.1665
Copy of JUDG__32,1,Copy of JUDG__69,0.2493
Copy of JUDG__32,2,Copy of JUDG__85,0.2126
Copy of JUDG__32,3,Copy of JUDG__30,0.2076
Copy of JUDG__32,4,Copy of JUDG__82,0.1931
Copy of JUDG__32,5,Copy of JUDG__92,0.1921
Copy of JUDG__33,1,judgement_C_P_L_A_2788_2022,0.2515
Copy of JUDG__33,2,Copy of JUDG__78,0.2362
Copy of JUDG__33,3,Copy of JUDG__3,0.2346
Copy of JUDG__33,4,Copy of JUDG__4998,0.2211
Copy of JUDG__33,5,Copy of JUDG__7486,0.2208
Copy of JUDG__34,1,Copy of JUDG__22,0.2367
Copy of JUDG__34,2,Copy of JUDG__66,0.1996
Copy of JUDG__34,3,judgement_Crl_P_L_A_745_2025,0.1837
Copy of JUDG__34,4,Copy of JUDG__14,0.1777
Copy of JUDG__34,5,judgement_Crl_P_L_A_868_2025,0.1764
Copy of JUDG__35,1,judgement_C_A_101-K_2022,0.2345
Copy of JUDG__35,2,Copy of JUDG__45,0.2342
Copy of JUDG__35,3,Copy of JUDG__68,0.2185
Copy of JUDG__35,4,Copy of JUDG__18,0.205
Copy of JUDG__35,5,Copy of JUDG__4,0.1987
Copy of JUDG__36,1,Copy of JUDG__6,0.2791
Copy of JUDG__36,2,Copy of JUDG__42,0.2377
Copy of JUDG__36,3,Copy of JUDG__27,0.212
Copy of JUDG__36,4,judgement_Crl_P_L_A_960_2025,0.1919
Copy of JUDG__36,5,Copy of JUDG__79,0.1844
Copy of JUDG__37,1,judgement_C_P_L_A_3-K_2023,0.3354
Copy of JUDG__37,2,judgement_C_P_L_A_4-K_2025,0.2766
Copy of JUDG__37,3,Copy of JUDG__19,0.2458
Copy of JUDG__37,4,Copy of JUDG__63,0.2278
Copy of JUDG__37,5,judgement_C_P_L_A_3824_2023,0.2045
Copy of JUDG__38,1,judgement_C_P_L_A_1032-K_2025,0.2887
Copy of JUDG__38,2,Copy of JUDG__52,0.2231
Copy of JUDG__38,3,Copy of JUDG__9542,0.219
Copy of JUDG__38,4,Copy of JUDG__43,0.1868
Copy of JUDG__38,5,Copy of JUDG__17,0.1853
Copy of JUDG__39,1,Copy of JUDG__12,0.2405
Copy of JUDG__39,2,Copy of JUDG__9697,0.2121
Copy of JUDG__39,3,Copy of JUDG__86,0.2077
Copy of JUDG__39,4,Copy of JUDG__95,0.1999
Copy of JUDG__39,5,Copy of JUDG__43,0.1973
Copy of JUDG__4,1,Copy of JUDG__67,0.2321
Copy of JUDG__4,2,Copy of JUDG__14,0.224
Copy of JUDG__4,3,judgement_Crl_P_L_A_1033_2025,0.2144
Copy of JUDG__4,4,Copy of JUDG__17,0.2085
Copy of JUDG__4,5,judgement_C_A_209_2025,0.206
Copy of JUDG__40,1,judgement_C_P_L_A_110_2023,0.3099
Copy of JUDG__40,2,judgement_Crl_P_L_A_1184_2025,0.2131
Copy of JUDG__40,3,Copy of JUDG__80,0.1807
Copy of JUDG__40,4,judgement_C_P_L_A_385-L_2021,0.1511
Copy of JUDG__40,5,Copy of JUDG__4,0.1499
Copy of JUDG__41,1,Copy of JUDG__84,0.2297
Copy of JUDG__41,2,Copy of JUDG__52,0.2274
Copy of JUDG__41,3,Copy of JUDG__9700,0.2202
Copy of JUDG__41,4,Copy of JUDG__86,0.2024
Copy of JUDG__41,5,Copy of JUDG__104,0.1913
Copy of JUDG__42,1,judgement_J_P_252_2020,0.2549
Copy of JUDG__42,2,Copy of JUDG__36,0.2377
Copy of JUDG__42,3,Copy of JUDG__74,0.208
Copy of JUDG__42,4,judgement_J_P_541_2021,0.197
Copy of JUDG__42,5,Copy of JUDG__102,0.1964
Copy of JUDG__43,1,judgement_Crl_P_L_A_1121_2021,0.2389
Copy of JUDG__43,2,judgement_Crl_P_L_A_1033_2025,0.2151
Copy of JUDG__43,3,Copy of JUDG__104,0.2054
Copy of JUDG__43,4,Copy of JUDG__39,0.1973
Copy of JUDG__43,5,Copy of JUDG__68,0.189
Copy of JUDG__44,1,Copy of JUDG__55,0.2654
Copy of JUDG__44,2,Copy of JUDG__6,0.226
Copy of JUDG__44,3,Copy of JUDG__49,0.1998
Copy of JUDG__44,4,Copy of JUDG__80,0.1902
Copy of JUDG__44,5,judgement_Crl_P_L_A_585_2025,0.1897
Copy of JUDG__45,1,Copy of JUDG__61,0.2477
Copy of JUDG__45,2,Copy of JUDG__35,0.2342
Copy of JUDG__45,3,Copy of JUDG__103,0.2016
Copy of JUDG__45,4,Copy of JUDG__1,0.1999
Copy of JUDG__45,5,Copy of JUDG__94,0.1858
Copy of JUDG__46,1,Copy of JUDG__4998,0.2242
Copy of JUDG__46,2,judgement_Crl_P_L_A_39-K_2025,0.2059
Copy of JUDG__46,3,Copy of JUDG__64,0.2047
Copy of JUDG__46,4,judgement_Crl_P_L_A_1121_2021,0.1978
Copy of JUDG__46,5,judgement_J_P_252_2020,0.1909
Copy of JUDG__47,1,Copy of JUDG__8036,0.2397
Copy of JUDG__47,2,Copy of JUDG__29,0.2259
Copy of JUDG__47,3,Copy of JUDG__95,0.2258
Copy of JUDG__47,4,Copy of JUDG__16,0.1986
Copy of JUDG__47,5,Copy of JUDG__31,0.1954
Copy of JUDG__49,1,Copy of JUDG__87,0.3461
Copy of JUDG__49,2,Copy of JUDG__98,0.2832
Copy of JUDG__49,3,Copy of JUDG__104,0.2621
Copy of JUDG__49,4,Copy of JUDG__63,0.2551
Copy of JUDG__49,5,Copy of JUDG__2,0.2199
Copy of JUDG__4998,1,judgement_C_P_L_A_5929_2024,0.2858
Copy of JUDG__4998,2,Copy of JUDG__59,0.269
Copy of JUDG__4998,3,Copy of JUDG__25,0.2435
Copy of JUDG__4998,4,Copy of JUDG__14,0.2376
Copy of JUDG__4998,5,Copy of JUDG__46,0.2242
Copy of JUDG__5,1,Copy of JUDG__9697,0.2223
Copy of JUDG__5,2,Copy of JUDG__58,0.2196
Copy of JUDG__5,3,Copy of JUDG__105,0.2063
Copy of JUDG__5,4,Copy of JUDG__81,0.1917
Copy of JUDG__5,5,judgement_Crl_P_L_A_147-K_2025,0.1835
Copy of JUDG__50,1,judgement_Crl_P_L_A_1121_2021,0.2335
Copy of JUDG__50,2,Copy of JUDG__65,0.2168
Copy of JUDG__50,3,Copy of JUDG__33,0.1981
Copy of JUDG__50,4,judgement_C_P_L_A_88-P_2022,0.198
Copy of JUDG__50,5,Copy of JUDG__41,0.181
Copy of JUDG__51,1,Copy of JUDG__80,0.2512
Copy of JUDG__51,2,Copy of JUDG__19,0.1881
Copy of JUDG__51,3,Copy of JUDG__44,0.1857
Copy of JUDG__51,4,Copy of JUDG__99,0.1825
Copy of JUDG__51,5,Copy of JUDG__6,0.1644
Copy of JUDG__52,1,Copy of JUDG__26,0.236
Copy of JUDG__52,2,Copy of JUDG__41,0.2274
Copy of JUDG__52,3,Copy of JUDG__38,0.2231
Copy of JUDG__52,4,Copy of JUDG__7,0.1898
Copy of JUDG__52,5,Copy of JUDG__9,0.1746
Copy of JUDG__53,1,Copy of JUDG__95,0.2224
Copy of JUDG__53,2,judgement_C_P_L_A_706_2021,0.2105
Copy of JUDG__53,3,Copy of JUDG__67,0.2032
Copy of JUDG__53,4,judgement_C_P_L_A_5929_2024,0.1845
Copy of JUDG__53,5,Copy of JUDG__59,0.1777
Copy of JUDG__54,1,judgement_J_P_286_2020,0.2627
Copy of JUDG__54,2,judgement_C_P_L_A_933-K_2023,0.2441
Copy of JUDG__54,3,Copy of JUDG__82,0.226
Copy of JUDG__54,4,judgement_C_P_L_A_78-K_2024,0.2161
Copy of JUDG__54,5,Copy of JUDG__102,0.1871
Copy of JUDG__55,1,judgement_Crl_P_L_A_1144_2025,0.2806
Copy of JUDG__55,2,Copy of JUDG__44,0.2654
Copy of JUDG__55,3,Copy of JUDG__99,0.2532
Copy of JUDG__55,4,Copy of JUDG__71,0.2338
Copy of JUDG__55,5,judgement_Crl_P_L_A_433_2025,0.2311
Copy of JUDG__57,1,Copy of JUDG__81,0.1721
Copy of JUDG__57,2,Copy of JUDG__6657,0.1639
Copy of JUDG__57,3,Copy of JUDG__87,0.1621
Copy of JUDG__57,4,Copy of JUDG__49,0.156
Copy of JUDG__57,5,Copy of JUDG__59,0.1402
Copy of JUDG__58,1,judgement_C_P_L_A_2788_2022,0.2341
Copy of JUDG__58,2,Copy of JUDG__5,0.2196
Copy of JUDG__58,3,Copy of JUDG__9698,0.1899
Copy of JUDG__58,4,Copy of JUDG__76,0.1818
Copy of JUDG__58,5,Copy of JUDG__84,0.1786
Copy of JUDG__59,1,judgement_C_P_L_A_3-K_2023,0.3108
