Query Case No.,Rank,Similar Case No.,Similarity Score
judgement_C_A_1388_2017,2,Copy of JUDG__102,0.2584
judgement_C_A_1388_2017,3,Copy of JUDG__30,0.2223
judgement_C_A_1388_2017,4,judgement_C_P_L_A_339-L_2023,0.1925
judgement_C_A_1388_2017,5,Copy of JUDG__33,0.1823
judgement_C_A_209_2025,1,Copy of JUDG__7771,0.2285
judgement_C_A_209_2025,2,Copy of JUDG__105,0.2276
judgement_C_A_209_2025,3,Copy of JUDG__4,0.206
judgement_C_A_209_2025,4,Copy of JUDG__42,0.1875
judgement_C_A_209_2025,5,Copy of JUDG__9700,0.1756
judgement_C_P_L_A_1002_2025,1,Copy of JUDG__78,0.2335
judgement_C_P_L_A_1002_2025,2,Copy of JUDG__67,0.1965
judgement_C_P_L_A_1002_2025,3,judgement_C_P_L_A_385-L_2021,0.1858
judgement_C_P_L_A_1002_2025,4,Copy of JUDG__16,0.1812
judgement_C_P_L_A_1002_2025,5,Copy of JUDG__94,0.1811
judgement_C_P_L_A_1032-K_2025,1,Copy of JUDG__38,0.2887
judgement_C_P_L_A_1032-K_2025,2,Copy of JUDG__31,0.2382
judgement_C_P_L_A_1032-K_2025,3,Copy of JUDG__29,0.2153
judgement_C_P_L_A_1032-K_2025,4,Copy of JUDG__102,0.2094
judgement_C_P_L_A_1032-K_2025,5,Copy of JUDG__43,0.187
judgement_C_P_L_A_1107-L_2015,1,Copy of JUDG__18,0.1999
judgement_C_P_L_A_1107-L_2015,2,Copy of JUDG__19,0.1902
judgement_C_P_L_A_1107-L_2015,3,Copy of JUDG__96,0.1837
judgement_C_P_L_A_1107-L_2015,4,judgement_J_P_554_2023,0.1825
judgement_C_P_L_A_1107-L_2015,5,Copy of JUDG__30,0.1819
judgement_C_P_L_A_110_2023,1,Copy of JUDG__40,0.3099
judgement_C_P_L_A_110_2023,2,judgement_Crl_P_L_A_1033_2025,0.2143
judgement_C_P_L_A_110_2023,3,Copy of JUDG__9698,0.212
judgement_C_P_L_A_110_2023,4,judgement_C_P_L_A_385-L_2021,0.2042
judgement_C_P_L_A_110_2023,5,Copy of JUDG__7771,0.1893
judgement_C_P_L_A_147-K_2023,1,Copy of JUDG__30,0.3546
judgement_C_P_L_A_147-K_2023,2,Copy of JUDG__64,0.1936
judgement_C_P_L_A_147-K_2023,3,Copy of JUDG__88,0.1745
judgement_C_P_L_A_147-K_2023,4,Copy of JUDG__65,0.1719
judgement_C_P_L_A_147-K_2023,5,judgement_C_A_1388_2017,0.1687
judgement_C_P_L_A_2313_2024,1,Copy of JUDG__7771,0.2553
judgement_C_P_L_A_2313_2024,2,Copy of JUDG__85,0.2167
judgement_C_P_L_A_2313_2024,3,Copy of JUDG__89,0.1905
judgement_C_P_L_A_2313_2024,4,judgement_Crl_P_L_A_147-K_2025,0.1892
judgement_C_P_L_A_2313_2024,5,Copy of JUDG__64,0.1845
judgement_C_P_L_A_2555_2022,1,Copy of JUDG__66,0.2772
judgement_C_P_L_A_2555_2022,2,Copy of JUDG__26,0.2399
judgement_C_P_L_A_2555_2022,3,Copy of JUDG__10,0.1822
judgement_C_P_L_A_2555_2022,4,Copy of JUDG__7489,0.1802
judgement_C_P_L_A_2555_2022,5,Copy of JUDG__69,0.1638
judgement_C_P_L_A_2788_2022,1,Copy of JUDG__33,0.2515
judgement_C_P_L_A_2788_2022,2,Copy of JUDG__22,0.2482
judgement_C_P_L_A_2788_2022,3,Copy of JUDG__98,0.2426
judgement_C_P_L_A_2788_2022,4,Copy of JUDG__58,0.2341
judgement_C_P_L_A_2788_2022,5,Copy of JUDG__103,0.2221
judgement_C_P_L_A_3-K_2023,1,Copy of JUDG__37,0.3354
judgement_C_P_L_A_3-K_2023,2,judgement_C_P_L_A_4-K_2025,0.3167
judgement_C_P_L_A_3-K_2023,3,Copy of JUDG__59,0.3108
judgement_C_P_L_A_3-K_2023,4,Copy of JUDG__63,0.2309
judgement_C_P_L_A_3-K_2023,5,Copy of JUDG__49,0.2117
judgement_C_P_L_A_339-L_2023,1,Copy of JUDG__85,0.2422
judgement_C_P_L_A_339-L_2023,2,Copy of JUDG__3,0.2261
judgement_C_P_L_A_339-L_2023,3,judgement_Crl_P_L_A_868_2025,0.2155
judgement_C_P_L_A_339-L_2023,4,judgement_C_A_1388_2017,0.1925
judgement_C_P_L_A_339-L_2023,5,Copy of JUDG__91,0.1818
judgement_C_P_L_A_3824_2023,1,Copy of JUDG__9542,0.2604
judgement_C_P_L_A_3824_2023,2,Copy of JUDG__10,0.2278
judgement_C_P_L_A_3824_2023,3,Copy of JUDG__37,0.2045
judgement_C_P_L_A_3824_2023,4,judgement_Crl_P_L_A_960_2025,0.1872
judgement_C_P_L_A_3824_2023,5,Copy of JUDG__93,0.1619
judgement_C_P_L_A_385-L_2021,1,Copy of JUDG__8,0.2717
judgement_C_P_L_A_385-L_2021,2,Copy of JUDG__89,0.2365
judgement_C_P_L_A_385-L_2021,3,Copy of JUDG__22,0.2255
judgement_C_P_L_A_385-L_2021,4,judgement_Crl_P_L_A_1184_2025,0.2085
judgement_C_P_L_A_385-L_2021,5,judgement_C_P_L_A_110_2023,0.2042
judgement_C_P_L_A_4-K_2025,1,judgement_C_P_L_A_3-K_2023,0.3167
judgement_C_P_L_A_4-K_2025,2,Copy of JUDG__7222,0.3151
judgement_C_P_L_A_4-K_2025,3,Copy of JUDG__37,0.2766
judgement_C_P_L_A_4-K_2025,4,Copy of JUDG__96,0.2185
judgement_C_P_L_A_4-K_2025,5,judgement_C_P_L_A_5929_2024,0.2098
judgement_C_P_L_A_407-K_2021,1,Copy of JUDG__25,0.2721
judgement_C_P_L_A_407-K_2021,2,Copy of JUDG__63,0.2255
judgement_C_P_L_A_407-K_2021,3,Copy of JUDG__37,0.2005
judgement_C_P_L_A_407-K_2021,4,Copy of JUDG__9,0.1983
judgement_C_P_L_A_407-K_2021,5,Copy of JUDG__14,0.1977
judgement_C_P_L_A_5516_2024,1,judgement_J_P_252_2020,0.3114
judgement_C_P_L_A_5516_2024,2,Copy of JUDG__66,0.2285
judgement_C_P_L_A_5516_2024,3,Copy of JUDG__65,0.1901
judgement_C_P_L_A_5516_2024,4,Copy of JUDG__97,0.1765
judgement_C_P_L_A_5516_2024,5,judgement_Crl_P_L_A_1033_2025,0.1399
judgement_C_P_L_A_5929_2024,1,judgement_Crl_A_343_2023,0.3033
judgement_C_P_L_A_5929_2024,2,Copy of JUDG__4998,0.2858
judgement_C_P_L_A_5929_2024,3,Copy of JUDG__24,0.2108
judgement_C_P_L_A_5929_2024,4,judgement_C_P_L_A_4-K_2025,0.2098
judgement_C_P_L_A_5929_2024,5,Copy of JUDG__29,0.2036
judgement_C_P_L_A_706_2021,1,judgement_J_P_554_2023,0.2636
judgement_C_P_L_A_706_2021,2,Copy of JUDG__96,0.2429
judgement_C_P_L_A_706_2021,3,Copy of JUDG__82,0.2279
judgement_C_P_L_A_706_2021,4,Copy of JUDG__53,0.2105
judgement_C_P_L_A_706_2021,5,Copy of JUDG__93,0.2003
judgement_C_P_L_A_74_2025,1,Copy of JUDG__102,0.2436
judgement_C_P_L_A_74_2025,2,judgement_Crl_P_L_A_966_2018,0.241
judgement_C_P_L_A_74_2025,3,Copy of JUDG__27,0.2341
judgement_C_P_L_A_74_2025,4,Copy of JUDG__12,0.2003
judgement_C_P_L_A_74_2025,5,Copy of JUDG__9366,0.1988
judgement_C_P_L_A_78-K_2024,1,Copy of JUDG__64,0.2689
judgement_C_P_L_A_78-K_2024,2,Copy of JUDG__29,0.2317
judgement_C_P_L_A_78-K_2024,3,Copy of JUDG__63,0.2239
judgement_C_P_L_A_78-K_2024,4,Copy of JUDG__54,0.2161
judgement_C_P_L_A_78-K_2024,5,Copy of JUDG__77,0.1995
judgement_C_P_L_A_88-P_2022,1,judgement_Crl_P_L_A_219-P_2023,0.211
judgement_C_P_L_A_88-P_2022,2,judgement_Crl_P_L_A_1121_2021,0.2039
judgement_C_P_L_A_88-P_2022,3,Copy of JUDG__50,0.198
judgement_C_P_L_A_88-P_2022,4,Copy of JUDG__13,0.191
judgement_C_P_L_A_88-P_2022,5,Copy of JUDG__3,0.1876
judgement_C_P_L_A_933-K_2023,1,Copy of JUDG__54,0.2441
judgement_C_P_L_A_933-K_2023,2,Copy of JUDG__6,0.2085
judgement_C_P_L_A_933-K_2023,3,Copy of JUDG__4,0.196
judgement_C_P_L_A_933-K_2023,4,Copy of JUDG__92,0.175
judgement_C_P_L_A_933-K_2023,5,Copy of JUDG__104,0.1529
judgement_Crl_A_343_2023,1,judgement_C_P_L_A_5929_2024,0.3033
judgement_Crl_A_343_2023,2,Copy of JUDG__103,0.1985
judgement_Crl_A_343_2023,3,Copy of JUDG__61,0.1916
judgement_Crl_A_343_2023,4,Copy of JUDG__71,0.1885
judgement_Crl_A_343_2023,5,Copy of JUDG__79,0.1671
judgement_Crl_A_351_2023,1,Copy of JUDG__22,0.2532
judgement_Crl_A_351_2023,2,Copy of JUDG__25,0.2456
judgement_Crl_A_351_2023,3,Copy of JUDG__95,0.2123
judgement_Crl_A_351_2023,4,judgement_Crl_P_L_A_1144_2025,0.2113
judgement_Crl_A_351_2023,5,Copy of JUDG__60,0.2084
judgement_Crl_P_L_A_1033_2025,1,Copy of JUDG__92,0.2743
judgement_Crl_P_L_A_1033_2025,2,Copy of JUDG__72,0.2386
judgement_Crl_P_L_A_1033_2025,3,Copy of JUDG__43,0.2151
judgement_Crl_P_L_A_1033_2025,4,Copy of JUDG__4,0.2144
judgement_Crl_P_L_A_1033_2025,5,judgement_C_P_L_A_110_2023,0.2143
judgement_Crl_P_L_A_1055_2025,1,Copy of JUDG__37,0.2031
judgement_Crl_P_L_A_1055_2025,2,Copy of JUDG__21,0.2025
judgement_Crl_P_L_A_1055_2025,3,Copy of JUDG__82,0.1859
judgement_Crl_P_L_A_1055_2025,4,Copy of JUDG__8036,0.1777
judgement_Crl_P_L_A_1055_2025,5,judgement_J_P_614_2021,0.1759
judgement_Crl_P_L_A_1121_2021,1,Copy of JUDG__68,0.2548
judgement_Crl_P_L_A_1121_2021,2,Copy of JUDG__43,0.2389
judgement_Crl_P_L_A_1121_2021,3,Copy of JUDG__50,0.2335
judgement_Crl_P_L_A_1121_2021,4,Copy of JUDG__9697,0.222
judgement_Crl_P_L_A_1121_2021,5,judgement_C_P_L_A_88-P_2022,0.2039
judgement_Crl_P_L_A_1144_2025,1,Copy of JUDG__70,0.3228
judgement_Crl_P_L_A_1144_2025,2,Copy of JUDG__55,0.2806
judgement_Crl_P_L_A_1144_2025,3,Copy of JUDG__59,0.2627
judgement_Crl_P_L_A_1144_2025,4,Copy of JUDG__63,0.2388
judgement_Crl_P_L_A_1144_2025,5,judgement_Crl_A_351_2023,0.2113
judgement_Crl_P_L_A_1184_2025,1,Copy of JUDG__101,0.2403
judgement_Crl_P_L_A_1184_2025,2,Copy of JUDG__40,0.2131
judgement_Crl_P_L_A_1184_2025,3,judgement_C_P_L_A_385-L_2021,0.2085
judgement_Crl_P_L_A_1184_2025,4,Copy of JUDG__80,0.1943
judgement_Crl_P_L_A_1184_2025,5,judgement_Crl_P_L_A_1121_2021,0.1911
judgement_Crl_P_L_A_1408_2025,1,Copy of JUDG__92,0.2152
judgement_Crl_P_L_A_1408_2025,2,Copy of JUDG__29,0.2075
judgement_Crl_P_L_A_1408_2025,3,Copy of JUDG__81,0.1957
judgement_Crl_P_L_A_1408_2025,4,Copy of JUDG__3,0.1739
judgement_Crl_P_L_A_1408_2025,5,Copy of JUDG__77,0.1577
judgement_Crl_P_L_A_147-K_2025,1,Copy of JUDG__70,0.2171
judgement_Crl_P_L_A_147-K_2025,2,Copy of JUDG__102,0.2013
judgement_Crl_P_L_A_147-K_2025,3,Copy of JUDG__28,0.1986
judgement_Crl_P_L_A_147-K_2025,4,Copy of JUDG__19,0.1975
judgement_Crl_P_L_A_147-K_2025,5,judgement_C_P_L_A_2313_2024,0.1892
judgement_Crl_P_L_A_219-P_2023,1,Copy of JUDG__9545,0.2235
judgement_Crl_P_L_A_219-P_2023,2,Copy of JUDG__97,0.2221
judgement_Crl_P_L_A_219-P_2023,3,judgement_C_P_L_A_88-P_2022,0.211
judgement_Crl_P_L_A_219-P_2023,4,Copy of JUDG__95,0.199
judgement_Crl_P_L_A_219-P_2023,5,judgement_J_P_375_2023,0.1831
judgement_Crl_P_L_A_39-K_2025,1,Copy of JUDG__73,0.2309
judgement_Crl_P_L_A_39-K_2025,2,Copy of JUDG__46,0.2059
judgement_Crl_P_L_A_39-K_2025,3,Copy of JUDG__83,0.1916
judgement_Crl_P_L_A_39-K_2025,4,Copy of JUDG__6,0.1584
judgement_Crl_P_L_A_39-K_2025,5,judgement_Crl_P_L_A_1033_2025,0.1561
judgement_Crl_P_L_A_433_2025,1,Copy of JUDG__55,0.2311
judgement_Crl_P_L_A_433_2025,2,Copy of JUDG__9697,0.2168
judgement_Crl_P_L_A_433_2025,3,Copy of JUDG__82,0.2045
judgement_Crl_P_L_A_433_2025,4,Copy of JUDG__7489,0.1979
judgement_Crl_P_L_A_433_2025,5,Copy of JUDG__23,0.1832
judgement_Crl_P_L_A_585_2025,1,Copy of JUDG__68,0.2741
judgement_Crl_P_L_A_585_2025,2,Copy of JUDG__9542,0.2535
judgement_Crl_P_L_A_585_2025,3,Copy of JUDG__13,0.228
judgement_Crl_P_L_A_585_2025,4,Copy of JUDG__90,0.1942
judgement_Crl_P_L_A_585_2025,5,Copy of JUDG__44,0.1897
judgement_Crl_P_L_A_745_2025,1,Copy of JUDG__60,0.1986
judgement_Crl_P_L_A_745_2025,2,judgement_C_P_L_A_3-K_2023,0.1958
judgement_Crl_P_L_A_745_2025,3,Copy of JUDG__34,0.1837
judgement_Crl_P_L_A_745_2025,4,Copy of JUDG__81,0.17
judgement_Crl_P_L_A_745_2025,5,judgement_Crl_P_L_A_147-K_2025,0.1661
judgement_Crl_P_L_A_868_2025,1,Copy of JUDG__2,0.2264
judgement_Crl_P_L_A_868_2025,2,judgement_C_P_L_A_339-L_2023,0.2155
judgement_Crl_P_L_A_868_2025,3,Copy of JUDG__34,0.1764
judgement_Crl_P_L_A_868_2025,4,Copy of JUDG__42,0.1707
judgement_Crl_P_L_A_868_2025,5,Copy of JUDG__83,0.1682
judgement_Crl_P_L_A_960_2025,1,Copy of JUDG__8,0.3433
judgement_Crl_P_L_A_960_2025,2,Copy of JUDG__69,0.2005
judgement_Crl_P_L_A_960_2025,3,Copy of JUDG__12,0.1922
judgement_Crl_P_L_A_960_2025,4,Copy of JUDG__36,0.1919
judgement_Crl_P_L_A_960_2025,5,judgement_C_P_L_A_3824_2023,0.1872
judgement_Crl_P_L_A_966_2018,1,judgement_C_P_L_A_74_2025,0.241
judgement_Crl_P_L_A_966_2018,2,Copy of JUDG__70,0.2272
judgement_Crl_P_L_A_966_2018,3,Copy of JUDG__2,0.2052
judgement_Crl_P_L_A_966_2018,4,Copy of JUDG__81,0.2032
judgement_Crl_P_L_A_966_2018,5,Copy of JUDG__17,0.1894
judgement_J_P_252_2020,1,Copy of JUDG__7,0.3462
judgement_J_P_252_2020,2,judgement_C_P_L_A_5516_2024,0.3114
judgement_J_P_252_2020,3,Copy of JUDG__42,0.2549
judgement_J_P_252_2020,4,Copy of JUDG__90,0.2499
judgement_J_P_252_2020,5,judgement_C_P_L_A_4-K_2025,0.2096
judgement_J_P_276_2019,1,Copy of JUDG__9698,0.2618
judgement_J_P_276_2019,2,Copy of JUDG__9545,0.2119
judgement_J_P_276_2019,3,Copy of JUDG__86,0.1934
judgement_J_P_276_2019,4,Copy of JUDG__78,0.1837
judgement_J_P_276_2019,5,Copy of JUDG__95,0.1817
judgement_J_P_286_2020,1,Copy of JUDG__6,0.286
judgement_J_P_286_2020,2,Copy of JUDG__91,0.2763
judgement_J_P_286_2020,3,Copy of JUDG__12,0.2665
judgement_J_P_286_2020,4,Copy of JUDG__54,0.2627
judgement_J_P_286_2020,5,Copy of JUDG__6657,0.2381
judgement_J_P_375_2023,1,judgement_J_P_541_2021,0.2458
judgement_J_P_375_2023,2,Copy of JUDG__29,0.2437
judgement_J_P_375_2023,3,Copy of JUDG__77,0.2109
judgement_J_P_375_2023,4,Copy of JUDG__8036,0.2094
judgement_J_P_375_2023,5,Copy of JUDG__85,0.1875
judgement_J_P_541_2021,1,Copy of JUDG__23,0.2851
judgement_J_P_541_2021,2,judgement_C_A_1388_2017,0.261
judgement_J_P_541_2021,3,judgement_J_P_375_2023,0.2458
judgement_J_P_541_2021,4,judgement_J_P_252_2020,0.197
judgement_J_P_541_2021,5,Copy of JUDG__42,0.197
judgement_J_P_554_2023,1,Copy of JUDG__69,0.3155
judgement_J_P_554_2023,2,Copy of JUDG__96,0.2922
judgement_J_P_554_2023,3,Copy of JUDG__84,0.2734
judgement_J_P_554_2023,4,Copy of JUDG__17,0.2698
judgement_J_P_554_2023,5,judgement_C_P_L_A_706_2021,0.2636
judgement_J_P_559_2017,1,Copy of JUDG__22,0.2338
judgement_J_P_559_2017,2,Copy of JUDG__1,0.2044
judgement_J_P_559_2017,3,Copy of JUDG__77,0.1942
judgement_J_P_559_2017,4,Copy of JUDG__91,0.1812
judgement_J_P_559_2017,5,Copy of JUDG__13,0.1785
judgement_J_P_611_2022,1,Copy of JUDG__6,0.2288
judgement_J_P_611_2022,2,Copy of JUDG__70,0.1991
judgement_J_P_611_2022,3,judgement_C_P_L_A_2313_2024,0.1812
judgement_J_P_611_2022,4,Copy of JUDG__19,0.1796
judgement_J_P_611_2022,5,Copy of JUDG__18,0.1765
judgement_J_P_614_2021,1,Copy of JUDG__8036,0.2313
judgement_J_P_614_2021,2,Copy of JUDG__3,0.2113
judgement_J_P_614_2021,3,Copy of JUDG__86,0.2043
judgement_J_P_614_2021,4,judgement_Crl_P_L_A_1055_2025,0.1759
judgement_J_P_614_2021,5,Copy of JUDG__29,0.1723
